Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2024-08-02,36.6423,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-05,36.6555,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-06,36.6527,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-07,36.6642,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-08,36.6806,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-09,36.6827,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-12,36.6658,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-13,36.6305,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-14,36.6561,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-15,36.6132,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-16,36.6768,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-20,36.6848,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-21,36.683,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-22,36.6484,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-23,36.6967,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-26,36.5888,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-27,36.5633,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-28,36.5883,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-29,36.5919,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-08-30,36.6259,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-02,36.6454,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
